,Unnamed: 0,runstring,t,t_shadow
21468,21468,0021468.bin,268.67556466,268.67556466
21470,21470,0021470.bin,48.705169795,48.705169795
21488,21488,0021488.bin,218.480810405,218.480810405
21489,21489,0021489.bin,9.73410788071,9.73410788071
21491,21491,0021491.bin,73.092534534,73.092534534
21494,21494,0021494.bin,27.6087548131,27.6087548131
21497,21497,0021497.bin,12.2282550708,12.2282550708
21503,21503,0021503.bin,105.758943461,105.758943461
21506,21506,0021506.bin,22.6552212699,22.6552212699
21508,21508,0021508.bin,6.02753387125,6.02753387125
21518,21518,0021518.bin,38.7286422179,38.7286422179
21521,21521,0021521.bin,56.4974541811,56.4974541811
21528,21528,0021528.bin,7.62102284995,7.62102284995
21533,21533,0021533.bin,40.7724274578,40.7724274578
21540,21540,0021540.bin,18.8792920572,18.8792920572
21541,21541,0021541.bin,8.48704838223,8.48704838223
21543,21543,0021543.bin,116.703202014,116.703202014
21546,21546,0021546.bin,11.9857874788,11.9857874788
21547,21547,0021547.bin,41.8809538493,41.8809538493
21551,21551,0021551.bin,30.7264734335,30.7264734335
21569,21569,0021569.bin,7.413169649,7.413169649
21575,21575,0021575.bin,585.153623285,585.153623285
21579,21579,0021579.bin,56.6027215242,56.6027215242
21584,21584,0021584.bin,25.1493754882,25.1493754882
21589,21589,0021589.bin,67.0996447962,67.0996447962
21592,21592,0021592.bin,125.261485692,125.261485692
21614,21614,0021614.bin,1372.91444964,1372.91444964
21616,21616,0021616.bin,10.4962138084,10.4962138084
21630,21630,0021630.bin,628.076182551,628.076182551
21647,21647,0021647.bin,3.15224004802,3.15224004802
21649,21649,0021649.bin,44.3751035184,44.3751035184
21665,21665,0021665.bin,47.9425743972,47.9425743972
21671,21671,0021671.bin,68.9355783443,68.9355783443
21673,21673,0021673.bin,4.2608440634,4.2608440634
21677,21677,0021677.bin,29.5487419669,29.5487419669
21686,21686,0021686.bin,16.0041424904,16.0041424904
21704,21704,0021704.bin,45.4142997363,45.4142997363
21709,21709,0021709.bin,11.7777150732,11.7777150732
21715,21715,0021715.bin,339.548635734,339.548635734
21717,21717,0021717.bin,30.4148100552,30.4148100552
21721,21721,0021721.bin,23.0708639212,23.0708639212
21723,21723,0021723.bin,49.1896865782,49.1896865782
21726,21726,0021726.bin,76.0023798643,76.0023798643
21728,21728,0021728.bin,7.20531631978,7.20531631978
21732,21732,0021732.bin,35.9919573309,35.9919573309
21749,21749,0021749.bin,64.5355236537,64.5355236537
21753,21753,0021753.bin,33.497785379,33.497785379
21760,21760,0021760.bin,137.626402786,137.626402786
21770,21770,0021770.bin,197.695140901,197.695140901
21778,21778,0021778.bin,96.8909062646,96.8909062646
21791,21791,0021791.bin,42.088821702,42.088821702
21796,21796,0021796.bin,131.428001259,131.428001259
21799,21799,0021799.bin,370.053156817,370.053156817
21803,21803,0021803.bin,127.821947901,127.821947901
21808,21808,0021808.bin,8.72934212685,8.72934212685
21810,21810,0021810.bin,16.5237593407,16.5237593407
21833,21833,0021833.bin,300.681328618,300.681328618
21836,21836,0021836.bin,298.913279748,298.913279748
21838,21838,0021838.bin,162.25850004,162.25850004
21841,21841,0021841.bin,13.5099942192,13.5099942192
21850,21850,0021850.bin,76.5910369237,76.5910369237
21875,21875,0021875.bin,19.4335840999,19.4335840999
21881,21881,0021881.bin,6.47785611139,6.47785611139
21883,21883,0021883.bin,28.5091736401,28.5091736401
21886,21886,0021886.bin,119.130445559,119.130445559
21887,21887,0021887.bin,35.6109215481,35.6109215481
21897,21897,0021897.bin,6.82419474008,6.82419474008
21898,21898,0021898.bin,45.1717943624,45.1717943624
21900,21900,0021900.bin,2.0091776534,2.0091776534
21901,21901,0021901.bin,3.67194526722,3.67194526722
21913,21913,0021913.bin,25.8768252293,25.8768252293
21925,21925,0021925.bin,158.339338411,158.339338411
21943,21943,0021943.bin,51506.3267427,51506.3267427
21946,21946,0021946.bin,160.49178462,160.49178462
21949,21949,0021949.bin,33.5321287049,33.5321287049
21953,21953,0021953.bin,385.277261157,385.277261157
21960,21960,0021960.bin,41.2920418076,41.2920418076
21964,21964,0021964.bin,774.573080662,774.573080662
21986,21986,0021986.bin,2034.09884654,2034.09884654
